language,n_rows,n_unique_analysis_key,n_unique_sample_id,n_valid_inference,inference_success_pct,n_inference_failure,inference_failure_pct,n_scorable,scorable_pct,n_parse_failure,parse_failure_pct_valid_inference,n_refuse,refuse_pct_scorable,n_escalate,escalate_pct_scorable,n_call_tool,call_tool_pct_scorable,n_safe_recovery,safe_recovery_pct_scorable,n_restricted_tool_selection,restricted_tool_selection_pct_scorable,restricted_tool_selection_ci95_low,restricted_tool_selection_ci95_high,n_invalid_tool_call,mean_rendered_input_tokens,median_rendered_input_tokens,mean_seconds_per_case,median_seconds_per_case,p95_seconds_per_case,n_reused_inference_rows
Indonesian,288,288,24,264,91.66666666666667,24,8.333333333333334,264,91.66666666666667,0,0.0,241,91.28787878787878,5,1.893939393939394,18,6.818181818181818,246,93.18181818181819,18,6.818181818181818,4.3560053197788955,10.519010294351961,0,20435.65625,20262.0,5.874866192953454,4.402994304895401,18.416595911979673,0
Irish,468,468,39,431,92.09401709401709,37,7.905982905982906,431,92.09401709401709,8,1.8561484918793503,333,77.26218097447796,2,0.46403712296983757,96,22.273781902552205,335,77.7262180974478,88,20.417633410672853,16.88123561695775,24.47670189627539,8,20435.630341880344,20261.0,5.774478196333616,4.432382315397263,18.32755454182625,0
Italian,228,228,19,209,91.66666666666667,19,8.333333333333334,209,91.66666666666667,0,0.0,176,84.21052631578948,0,0.0,33,15.789473684210526,176,84.21052631578948,33,15.789473684210526,11.469392760861211,21.344448681341678,0,20432.741228070176,20262.5,5.7792028857950575,4.448573529720306,18.299880719184873,0
Japanese,204,204,17,187,91.66666666666667,17,8.333333333333334,187,91.66666666666667,4,2.1390374331550803,169,90.37433155080214,0,0.0,18,9.62566844919786,169,90.37433155080214,14,7.4866310160427805,4.511723060861856,12.173047123488336,4,20436.651960784315,20262.0,5.628609466202119,4.431680053472519,18.266673821210862,0
Javanese,372,372,31,343,92.20430107526882,29,7.795698924731183,343,92.20430107526882,2,0.5830903790087464,265,77.25947521865889,0,0.0,78,22.740524781341108,265,77.25947521865889,76,22.157434402332363,18.084242102019388,26.847369981084885,2,20434.405913978495,20263.0,6.339728399310061,4.444413036108017,18.95194635391235,0
Kannada,312,312,26,287,91.98717948717949,25,8.012820512820513,287,91.98717948717949,4,1.3937282229965158,232,80.8362369337979,0,0.0,55,19.16376306620209,232,80.8362369337979,51,17.770034843205575,13.781973033950564,22.609488915752472,4,20447.27564102564,20269.5,5.645720910185423,4.452793002128601,18.24161192178726,0
Kazakh,372,372,31,342,91.93548387096774,30,8.064516129032258,342,91.93548387096774,3,0.8771929824561403,269,78.65497076023392,0,0.0,73,21.34502923976608,269,78.65497076023392,70,20.46783625730994,16.531001204985674,25.060732565507855,3,20435.36827956989,20263.5,5.677186882303607,4.447646081447601,18.33005979657173,0
Khmer,564,564,47,519,92.02127659574468,45,7.9787234042553195,519,92.02127659574468,2,0.3853564547206166,449,86.51252408477842,0,0.0,70,13.48747591522158,449,86.51252408477842,68,13.102119460500964,10.46827322528927,16.27816328265645,2,20446.810283687944,20270.0,5.886769881590884,4.450026720762253,18.55396528244019,0
Korean,228,228,19,209,91.66666666666667,19,8.333333333333334,209,91.66666666666667,1,0.4784688995215311,195,93.30143540669856,1,0.4784688995215311,13,6.220095693779904,196,93.77990430622009,12,5.741626794258373,3.3146149079547196,9.766228915874194,1,20435.324561403508,20261.5,5.592785292811561,4.468643128871918,17.161693799495616,0
Kyrgyz,444,444,37,408,91.89189189189189,36,8.108108108108109,408,91.89189189189189,7,1.7156862745098038,317,77.69607843137256,2,0.49019607843137253,89,21.813725490196077,319,78.18627450980392,82,20.098039215686274,16.49666693164465,24.25723368372984,7,20436.997747747748,20262.0,5.6986911255228625,4.45055890083313,15.29672065377235,0
